nbPoints,radius
15,20
cx,cy,cz
-0.2, 0.1, 0.5
x,y,z
0.19800,0.00500,0.00100
0.18071,0.00500,0.08235
0.13183,0.00500,0.14963
0.05980,0.00500,0.19121
-0.02291,0.00500,0.19990
-0.10200,0.00500,0.17421
-0.16380,0.00500,0.11856
-0.19763,0.00500,0.04258
-0.19763,0.00500,-0.04058
-0.16380,0.00500,-0.11656
-0.10200,0.00500,-0.17221
-0.02291,0.00500,-0.19790
0.05980,0.00500,-0.18921
0.13183,0.00500,-0.14763
0.18071,0.00500,-0.08035
0.19800,0.03500,0.00100
0.18071,0.03500,0.08235
0.13183,0.03500,0.14963
0.05980,0.03500,0.19121
-0.02291,0.03500,0.19990
-0.10200,0.03500,0.17421
-0.16380,0.03500,0.11856
-0.19763,0.03500,0.04258
-0.19763,0.03500,-0.04058
-0.16380,0.03500,-0.11656
-0.10200,0.03500,-0.17221
-0.02291,0.03500,-0.19790
0.05980,0.03500,-0.18921
0.13183,0.03500,-0.14763
0.18071,0.03500,-0.08035
0.19800,0.06500,0.00100
0.18071,0.06500,0.08235
0.13183,0.06500,0.14963
0.05980,0.06500,0.19121
-0.02291,0.06500,0.19990
-0.10200,0.06500,0.17421
-0.16380,0.06500,0.11856
-0.19763,0.06500,0.04258
-0.19763,0.06500,-0.04058
-0.16380,0.06500,-0.11656
-0.10200,0.06500,-0.17221
-0.02291,0.06500,-0.19790
0.05980,0.06500,-0.18921
0.18214,0.08283,-0.14763
0.18071,0.06500,-0.08035
0.19800,0.09500,0.00100
0.18071,0.09500,0.08235
0.13183,0.09500,0.14963
0.05980,0.09500,0.19121
-0.02291,0.09500,0.19990
-0.10200,0.09500,0.17421
-0.16380,0.09500,0.11856
-0.19763,0.09500,0.04258
-0.19763,0.09500,-0.04058
-0.16380,0.09500,-0.11656
-0.10200,0.09500,-0.17221
-0.02291,0.09500,-0.19790
0.05980,0.09500,-0.18921
0.13183,0.09500,-0.14763
0.18071,0.09500,-0.08035
0.19800,0.12500,0.00100
0.18071,0.12500,0.08235
0.13183,0.12500,0.14963
0.05980,0.12500,0.19121
-0.02291,0.12500,0.19990
-0.10200,0.12500,0.17421
-0.16380,0.12500,0.11856
-0.19763,0.12500,0.04258
-0.19763,0.12500,-0.04058
-0.16380,0.12500,-0.11656
-0.10200,0.12500,-0.17221
-0.02291,0.12500,-0.19790
0.05980,0.12500,-0.18921
0.13183,0.12500,-0.14763
0.18071,0.12500,-0.08035
0.19800,0.15500,0.00100
0.18071,0.15500,0.08235
0.13183,0.15500,0.14963
0.05980,0.15500,0.19121
-0.02291,0.15500,0.19990
-0.10200,0.15500,0.17421
-0.16380,0.15500,0.11856
-0.19763,0.15500,0.04258
-0.19763,0.15500,-0.04058
-0.16380,0.15500,-0.11656
-0.10200,0.15500,-0.17221
-0.02291,0.15500,-0.19790
0.05980,0.15500,-0.18921
0.17972,0.15921,-0.14763
0.18071,0.15500,-0.08035
0.19800,0.18500,0.00100
0.18071,0.18500,0.08235
0.13183,0.18500,0.14963
0.05980,0.18500,0.19121
-0.02291,0.18500,0.19990
-0.10200,0.18500,0.17421
-0.16380,0.18500,0.11856
-0.19763,0.18500,0.04258
-0.19763,0.18500,-0.04058
-0.16380,0.18500,-0.11656
-0.10200,0.18500,-0.17221
-0.02291,0.18500,-0.19790
0.05980,0.18500,-0.18921
0.13183,0.18500,-0.14763
0.18071,0.18500,-0.08035
0.19800,0.21500,0.00100
0.18071,0.21500,0.08235
0.13183,0.21500,0.14963
0.05980,0.21500,0.19121
-0.02291,0.21500,0.19990
-0.10200,0.21500,0.17421
-0.16380,0.21500,0.11856
-0.19763,0.21500,0.04258
-0.19763,0.21500,-0.04058
-0.16380,0.21500,-0.11656
-0.10200,0.21500,-0.17221
-0.02291,0.21500,-0.19790
0.05980,0.21500,-0.18921
0.13183,0.21500,-0.14763
0.18071,0.21500,-0.08035
0.19800,0.24500,0.00100
0.18071,0.24500,0.08235
0.13183,0.24500,0.14963
0.05980,0.24500,0.19121
-0.02291,0.24500,0.19990
-0.10200,0.24500,0.17421
-0.16380,0.24500,0.11856
-0.19763,0.24500,0.04258
-0.19763,0.24500,-0.04058
-0.16380,0.24500,-0.11656
-0.10200,0.24500,-0.17221
-0.02291,0.24500,-0.19790
0.05980,0.24500,-0.18921
0.15597,0.24068,-0.14763
0.18071,0.24500,-0.08035
0.19800,0.27500,0.00100
0.18071,0.27500,0.08235
0.13183,0.27500,0.14963
0.05980,0.27500,0.19121
-0.02291,0.27500,0.19990
-0.10200,0.27500,0.17421
-0.16380,0.27500,0.11856
-0.19763,0.27500,0.04258
-0.19763,0.27500,-0.04058
-0.16380,0.27500,-0.11656
-0.10200,0.27500,-0.17221
-0.02291,0.27500,-0.19790
0.05980,0.27500,-0.18921
0.14300,0.27186,-0.14763
0.18071,0.27500,-0.08035
