nbPoints,radius
15,2.795166
cx,cy,cz
0.0, 0.0, 0.0
x,y,z
0.02795,0.00000,0.00000
0.02554,0.00000,0.01137
0.01870,0.00000,0.02077
0.00864,0.00000,0.02658
-0.00292,0.00000,0.02780
-0.01398,0.00000,0.02421
-0.02261,0.00000,0.01643
-0.02734,0.00000,0.00581
-0.02734,0.00000,-0.00581
-0.02261,0.00000,-0.01643
-0.01398,0.00000,-0.02421
-0.00292,0.00000,-0.02780
0.00864,0.00000,-0.02658
0.01870,0.00000,-0.02077
0.02554,0.00000,-0.01137
0.02795,0.00300,0.00000
0.02554,0.00300,0.01137
0.01870,0.00300,0.02077
0.00864,0.00300,0.02658
-0.00292,0.00300,0.02780
-0.01398,0.00300,0.02421
-0.02261,0.00300,0.01643
-0.02734,0.00300,0.00581
-0.02734,0.00300,-0.00581
-0.02261,0.00300,-0.01643
-0.01398,0.00300,-0.02421
-0.00292,0.00300,-0.02780
0.00864,0.00300,-0.02658
0.01870,0.00300,-0.02077
0.02554,0.00300,-0.01137
0.02795,0.00600,0.00000
0.02554,0.00600,0.01137
0.01870,0.00600,0.02077
0.00864,0.00600,0.02658
-0.00292,0.00600,0.02780
-0.01398,0.00600,0.02421
-0.02261,0.00600,0.01643
-0.02734,0.00600,0.00581
-0.02734,0.00600,-0.00581
-0.02261,0.00600,-0.01643
-0.01398,0.00600,-0.02421
-0.00292,0.00600,-0.02780
0.00864,0.00600,-0.02658
0.01870,0.00600,-0.02077
0.02554,0.00600,-0.01137
0.02795,0.00900,0.00000
0.02554,0.00900,0.01137
0.01870,0.00900,0.02077
0.00864,0.00900,0.02658
-0.00292,0.00900,0.02780
-0.01398,0.00900,0.02421
-0.02261,0.00900,0.01643
-0.02734,0.00900,0.00581
-0.02734,0.00900,-0.00581
-0.02261,0.00900,-0.01643
-0.01398,0.00900,-0.02421
-0.00292,0.00900,-0.02780
0.00864,0.00900,-0.02658
0.01870,0.00900,-0.02077
0.02554,0.00900,-0.01137
0.02795,0.01200,0.00000
0.02554,0.01200,0.01137
0.01870,0.01200,0.02077
0.00864,0.01200,0.02658
-0.00292,0.01200,0.02780
-0.01398,0.01200,0.02421
-0.02261,0.01200,0.01643
-0.02734,0.01200,0.00581
-0.02734,0.01200,-0.00581
-0.02261,0.01200,-0.01643
-0.01398,0.01200,-0.02421
-0.00292,0.01200,-0.02780
0.00864,0.01200,-0.02658
0.01870,0.01200,-0.02077
0.02554,0.01200,-0.01137
